,username,mention
188,misscoolpics,akcjademokracja
189,sassyhemhem,akcjademokracja
190,mrsevansx,akcjademokracja
191,narvana27,akcjademokracja
192,lovlihails,akcjademokracja
193,lirycznosc,akcjademokracja
194,brainlessdancer,justintrudeau
195,jagoda29623120,akcjademokracja
196,paulina30637056,akcjademokracja
197,matradzik,onetpl
198,skocerba,akcjademokracja
199,sleepy_koyaa,akcjademokracja
200,kiksiol,akcjademokracja
201,improbite,akcjademokracja
202,vampstrashxx,akcjademokracja
203,noelle29x,akcjademokracja
204,kawaipickle,akcjademokracja
205,iamfromstars,akcjademokracja
206,tella_hasee,akcjademokracja
207,luiza_rochelle,akcjademokracja
208,horanensy,akcjademokracja
209,johnson95176117,davido
210,liltop17168569,dleachcgp
211,lacrymaria_0l0r,akcjademokracja
212,biebixe,akcjademokracja
213,maybesonja,akcjademokracja
214,whitereallly,akcjademokracja
215,joasadowska1,akcjademokracja
216,poselttrela,pisorgpl
217,poselttrela,strajkkobiet
218,poselttrela,__lewica
219,poselttrela,partiarazem
220,poselttrela,wiosnabiedronia
221,poselttrela,fms_kraj
222,poselttrela,mlodalewica_
223,poselttrela,mlodzi_razem
224,i_ne_s5,akcjademokracja
225,magdatyrkiel,akcjademokracja
226,asstolarska,akcjademokracja
227,rsitryszard,akcjademokracja
228,grazwiatr,radiozet_news
229,grzegorzkrajski,polskapolicja
230,wika_0421,akcjademokracja
231,grazwiatr,radiozet_news
232,brightnight512,akcjademokracja
233,babyvialol,akcjademokracja
234,szarykot,dom_eq
235,94inseoul,akcjademokracja
236,jane29796748,akcjademokracja
237,wideowyborcza,wolnesady1
238,poczekbezraczek,akcjademokracja
239,rushinmyhead,akcjademokracja
240,_rubycarter,akcjademokracja
241,mgshaper,akcjademokracja
242,kchojecka,bwroblewski
243,kchojecka,eunikachojecka
244,jessieheels,akcjademokracja
245,skskrunchies,akcjademokracja
246,polskieradio24,am_zukowska
247,micha_adamiec,j_gonciarz
248,micha_adamiec,kr_szumilas
249,micha_adamiec,bbudka
250,micha_adamiec,mgolbik
251,micha_adamiec,michalszczerba
252,micha_adamiec,adamszlapka
253,micha_adamiec,moanrosa
254,micha_adamiec,klubnauer
255,micha_adamiec,jachiraklaudia
256,micha_adamiec,onetwiadomosci
257,polskieradio24,am_zukowska
258,polskieradio24,am_zukowska
259,rozczarowanni,akcjademokracja
260,greenpeace,greenpeace_pl
261,tiny_blue_soul,akcjademokracja
262,skastelik,moanrosa
263,jajacek801,akcjademokracja
264,hellohellimgood,akcjademokracja
265,ksamifrawie,strajkkobiet
266,ksamifrawie,agabak
267,ksamifrawie,mmzawisza
268,ksamifrawie,magdabiejat
269,ksamifrawie,wandanowicka
270,ksamifrawie,__lewica
271,ksamifrawie,zieloni
272,idzpodpradpl,bwroblewski
273,piotrmalek81,akcjademokracja
274,grzegorzkrajski,krzysztofbosak
275,grzegorzkrajski,bosak2020
276,grzegorzkrajski,karinabosak
277,lukaszkrzesiak,teleexpresstvp
278,grazwiatr,radiozet_news
279,grzegorzkrajski,krzysztofbosak
280,grzegorzkrajski,bosak2020
281,grzegorzkrajski,karinabosak
282,niepomyslnosc,akcjademokracja
283,tynna13319,akcjademokracja
284,grazwiatr,radiozet_news
285,onlyonequeenari,akcjademokracja
286,polskieradio24,rzecznikpis
287,polskieradio24,rzecznikpis
288,madzikziel,akcjademokracja
289,dmz1978,akcjademokracja
290,andrzej08569978,akcjademokracja
291,m0nsterinme,akcjademokracja
292,polskieradio24,rzecznikpis
293,grzegorzkrajski,pisorgpl
294,magdarozz,episkopatnews
295,grazwiatr,radiozet_news
296,eliiwhite,pisorgpl
297,polskieradio24,mosinskijan
298,polskieradio24,pisorgpl
299,polskieradio24,mosinskijan
300,polskieradio24,pisorgpl
301,polakkatolik69,k_stanowski
302,zoey363465517,wkurwiac
303,polskieradio24,mosinskijan
304,polskieradio24,pisorgpl
305,polskieradio24,mosinskijan
306,polskieradio24,pisorgpl
307,polskieradio24,mosinskijan
308,polskieradio24,pisorgpl
309,grzegorzkrajski,mswia_gov_pl
310,grzegorzkrajski,polskapolicja
311,grzegorzkrajski,policja_ksp
312,liam01derek,itslaycon
313,polskieradio24,mosinskijan
314,polskieradio24,pisorgpl
315,polskieradio24,mosinskijan
316,polskieradio24,pisorgpl
317,polskieradio24,mosinskijan
318,polskieradio24,pisorgpl
319,ptaflinska,polskapolicja
320,ptaflinska,polskapolicja
321,rszawadzki,__lewica
322,jacob_jozwiak,__lewica
323,wieswadowski,zieloni
324,wieswadowski,platforma_org
325,jacob_jozwiak,christianwigand
326,jacob_jozwiak,eu_commission
327,grzegorzkrajski,pisorgpl
328,grzegorzkrajski,episkopatnews
329,obazrobert2,polskapolicja
330,mp_panek,konradberkowicz
331,mp_panek,konfederacja_
332,myeyesonjack,iwannabehannah
333,13_agnes_13,robertbiedron
334,wolnekobiety,krzysztofbosak
335,lvvmyari,strajkkobiet
336,stanislawkumor,polsatnewspl
337,tomasz_czoik,moanrosa
338,tomasz_czoik,borkowski_lukas
339,tomasz_czoik,partiarazem
340,tomasz_czoik,barpiotrowski
341,wolnekobiety,polskapolicja
342,crazynatix,programzdupy
343,omotola_ajakaye,adamschefter
344,omotola_ajakaye,realdonaldtrump
345,omotola_ajakaye,fisayolonge
346,omotola_ajakaye,wizkidayo
347,omotola_ajakaye,quintabrunson
348,omotola_ajakaye,jimcramer
349,_jakubjagielski,morawieckim
350,_jakubjagielski,pisorgpl
351,_jakubjagielski,tvp_info
352,_jakubjagielski,szumowskilukasz
353,_jakubjagielski,andrzejduda
354,bezprawien,pisorgpl
355,omotola_ajakaye,fkabudu
356,omotola_ajakaye,realdonaldtrump
357,omotola_ajakaye,phoebe_bridgers
358,omotola_ajakaye,donjazzy
359,omotola_ajakaye,berniesanders
360,tommykatowice,polskapolicja
361,dudzinski_marek,fmpis_oficjalny
362,dudzinski_marek,mlodzidemokraci
363,dudzinski_marek,smdgdansk
364,dudzinski_marek,msolidarnie
365,avebartnik,prawo_do_zycia
366,sicariopaula,sgroi_carmelo
367,sicariopaula,esmeraldae_sme
368,maciejmokrzycki,pisorgpl
369,mat_kleinert,morawieckim
370,amarylis_hill,andrzejduda
