,username,tweets_num,avg_tweet_len,avg_sentiment,avg_mentions,avg_replies,avg_retweets,avg_likes,avg_hashtags,community
0,mihashi_chan,665,93.15789473684211,0.12155388471177944,0.6857142857142857,0.13533834586466165,1340.7172932330827,0.3443609022556391,1.2165413533834586,0
1,akcjademokracja,33,250.5151515151515,0.29292929292929293,2.4242424242424243,1.6363636363636365,20.151515151515152,24.21212121212121,1.6363636363636365,0
2,leodille,115,100.33043478260869,0.0956521739130435,0.8,0.06956521739130435,2898.5478260869563,0.34782608695652173,0.3565217391304348,0
3,grzegorzkrajski,1728,85.53703703703704,0.022376543209876542,0.43344907407407407,0.3090277777777778,7.052083333333333,2.8200231481481484,0.5364583333333334,1
4,pisorgpl,323,159.4860681114551,0.11455108359133127,2.0340557275541795,20.188854489164086,32.0061919504644,25.13003095975232,1.0092879256965945,2
5,episkopatnews,253,159.82213438735178,0.08010540184453227,1.0197628458498025,9.766798418972332,18.68774703557312,22.703557312252965,0.3675889328063241,1
6,nazwa_mp4,10,66.4,0.1,0.3,0.2,8993.9,0.4,0.4,0
7,chipsforthesoul,56,102.57142857142857,0.1130952380952381,0.14285714285714285,0.10714285714285714,1595.25,0.32142857142857145,0.125,0
8,sen_ggs,51,102.25490196078431,0.11764705882352941,0.5686274509803921,0.4117647058823529,5116.156862745098,2.3529411764705883,1.588235294117647,4
9,strajkkobiet,512,118.341796875,-0.0023437499999999986,0.93359375,5.9609375,102.359375,170.091796875,0.677734375,4
10,ruchosmiugwiazd,475,125.07789473684211,0.025814536340852134,0.7073684210526315,2.9957894736842103,27.15157894736842,132.68842105263158,0.3431578947368421,4
11,dramaclubp,726,67.45454545454545,0.08379247015610651,0.6143250688705234,0.24517906336088155,6823.563360881542,0.8360881542699724,0.04269972451790634,0
12,kosiaralalalala,741,60.54520917678813,0.06774628879892038,0.39271255060728744,0.3360323886639676,987.331983805668,0.8798920377867746,0.04993252361673414,0
13,belovedjaemin,20,64.0,0.2,0.6,0.15,7623.85,0.2,0.45,0
14,bosia_x_bosia,3,128.66666666666666,0.0,0.6666666666666666,0.0,109.0,0.0,2.6666666666666665,0
15,shezzainacrown,27,124.07407407407408,0.07407407407407407,0.9629629629629629,0.0,2222.8888888888887,0.0,0.25925925925925924,0
16,ozzkar24,1,152.0,1.0,1.0,0.0,0.0,0.0,3.0,0
17,anneimizeb,3,210.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,3.0,1.6666666666666667,0
18,acr21x,63,98.0952380952381,0.06349206349206349,0.9682539682539683,0.015873015873015872,15187.444444444445,0.047619047619047616,0.1111111111111111,0
19,polishlibra,34,150.58823529411765,0.2882352941176471,0.4411764705882353,0.9117647058823529,158.1764705882353,40.14705882352941,1.0588235294117647,4
20,karolina80174,1,152.0,1.0,1.0,0.0,0.0,0.0,3.0,0
21,monikasiarnacka,5,125.6,0.6,0.2,0.0,0.0,1.8,1.6,0
22,pinkmoou,512,72.490234375,0.1398344494047619,0.189453125,0.4765625,1017.634765625,7.841796875,0.087890625,0
23,tommogirlzz,762,62.66535433070866,0.10804899387576554,0.33858267716535434,0.2952755905511811,733.9133858267717,6.404199475065616,0.06955380577427822,0
24,tomczakewa,657,113.15981735159818,-0.0045662100456621,0.502283105022831,0.1506849315068493,402.2009132420091,1.7321156773211568,0.2694063926940639,0
25,aliszia5,16,95.75,-0.0625,0.75,0.0,396.375,0.375,2.125,2
26,marta_sulik,32,93.46875,-0.020833333333333336,0.71875,0.09375,203.90625,2.625,0.25,0
27,murrixl0,46,83.04347826086956,0.13043478260869565,0.6956521739130435,0.13043478260869565,9512.58695652174,0.06521739130434782,0.21739130434782608,0
28,elanied11,1790,106.03798882681565,0.012700186219739291,1.1385474860335196,0.015083798882681564,191.17486033519552,0.08044692737430167,0.09832402234636871,0
29,xlittledumbass,91,103.6923076923077,0.15201465201465203,0.3956043956043956,0.16483516483516483,2614.769230769231,0.5604395604395604,0.17582417582417584,0
30,polskapolicja,141,157.79432624113474,0.042789598108747044,1.0283687943262412,17.652482269503547,36.319148936170215,29.19148936170213,0.2553191489361702,1
31,naanaja4,9,95.77777777777777,0.0,1.0,0.0,1295.2222222222222,0.1111111111111111,0.5555555555555556,0
32,diosatalassa,295,88.92203389830509,0.0424858757062147,0.576271186440678,0.08813559322033898,399.54237288135596,0.5050847457627119,0.09830508474576272,0
33,_ebangtan,473,79.22198731501057,0.052149400986610285,0.4587737843551797,0.16279069767441862,6787.718816067653,0.587737843551797,0.5898520084566596,0
